"date",traffic
"2018-09-21",7289
"2018-09-22",6157
"2018-09-23",4646
"2018-09-24",6687
"2018-09-25",6910
"2018-09-26",6552
"2018-09-27",7141
"2018-09-28",7384
"2018-09-29",6202
"2018-09-30",4711
"2018-10-01",6486
"2018-10-02",6801
"2018-10-03",7107
"2018-10-04",7245
"2018-10-05",7530
"2018-10-06",6434
"2018-10-07",3795
"2018-10-08",6260
"2018-10-09",6120
"2018-10-10",6639
"2018-10-11",6604
"2018-10-12",4851
"2018-10-13",5316
"2018-10-14",3462
"2018-10-15",6121
"2018-10-16",6757
"2018-10-17",7001
"2018-10-18",6561
"2018-10-19",6305
"2018-10-20",5958
"2018-10-21",4650
"2018-10-22",6739
"2018-10-23",6780
"2018-10-24",7292
"2018-10-25",7173
"2018-10-26",6748
"2018-10-27",5085
"2018-10-28",3820
"2018-10-29",6023
"2018-10-30",5541
"2018-10-31",6947
"2018-11-01",5541
"2018-11-02",6695
"2018-11-03",5783
"2018-11-04",3693
"2018-11-05",5477
"2018-11-06",6576
"2018-11-07",6325
"2018-11-08",6108
"2018-11-09",4584
"2018-11-10",5436
"2018-11-11",4176
"2018-11-12",6133
"2018-11-13",6873
"2018-11-14",6959
"2018-11-15",6983
"2018-11-16",7491
"2018-11-17",6850
"2018-11-18",4099
"2018-11-19",6344
"2018-11-20",6370
"2018-11-21",7079
"2018-11-22",6996
"2018-11-23",7402
"2018-11-24",6263
"2018-11-25",4439
"2018-11-26",6260
"2018-11-27",6499
"2018-11-28",6966
"2018-11-29",6856
"2018-11-30",7770
"2018-12-01",7427
"2018-12-02",4774
"2018-12-03",6141
"2018-12-04",6748
"2018-12-05",7117
"2018-12-06",5834
"2018-12-07",6901
"2018-12-08",6253
"2018-12-09",4049
"2018-12-10",6526
"2018-12-11",7913
"2018-12-12",7071
"2018-12-13",6769
"2018-12-14",7612
"2018-12-15",7887
"2018-12-16",5273
"2018-12-17",6875
"2018-12-18",6910
"2018-12-19",7197
"2018-12-20",6767
"2018-12-21",7467
"2018-12-22",5582
"2018-12-23",3879
"2018-12-24",2680
"2018-12-25",1847
"2018-12-26",5739
"2018-12-27",6551
"2018-12-28",6453
"2018-12-29",5166
"2018-12-30",3956
"2018-12-31",3341
"2019-01-01",2773
"2019-01-02",5397
"2019-01-03",6066
"2019-01-04",6302
"2019-01-05",5831
"2019-01-06",2707
"2019-01-07",3575
"2019-01-08",6406
"2019-01-09",6561
"2019-01-10",6473
"2019-01-11",6788
"2019-01-12",5845
"2019-01-13",3843
"2019-01-14",6263
"2019-01-15",6730
"2019-01-16",6595
"2019-01-17",6700
"2019-01-18",6852
"2019-01-19",4703
"2019-01-20",3973
"2019-01-21",6274
"2019-01-22",6366
"2019-01-23",6637
"2019-01-24",7236
"2019-01-25",7380
"2019-01-26",6652
"2019-01-27",4920
"2019-01-28",6639
"2019-01-29",6642
"2019-01-30",6497
"2019-01-31",7022
"2019-02-01",6635
"2019-02-02",5895
"2019-02-03",4400
"2019-02-04",6366
"2019-02-05",6920
"2019-02-06",7023
"2019-02-07",7185
"2019-02-08",7489
"2019-02-09",6263
"2019-02-10",7956
"2019-02-11",6443
"2019-02-12",6851
"2019-02-13",7378
"2019-02-14",7438
"2019-02-15",7582
"2019-02-16",6538
"2019-02-17",4702
"2019-02-18",6537
"2019-02-19",6949
"2019-02-20",7362
"2019-02-21",7526
"2019-02-22",7660
"2019-02-23",6446
"2019-02-24",4759
"2019-02-25",6826
"2019-02-26",7464
"2019-02-27",7648
"2019-02-28",7966
"2019-03-01",7948
"2019-03-02",6931
"2019-03-03",4832
"2019-03-04",6698
"2019-03-05",7298
"2019-03-06",6370
