id,"date","indicativo","name","provincia",altitud,tmed,prec,tmin,"horatmin",tmax,"horatmax","dir",velmedia,racha,"horaracha",sol,presMax,"horaPresMax",presMIn,"horaPresMin"
1,"2018-05-08","3129","MADRID AEROPUERTO","MADRID",609,18.3,0.6,10.9,"04:50",25.7,"13:45","31",2.5,10.3,"14:19",6.4,946.9,"Varias",943.4,"17"
2,"2018-05-09","3129","MADRID AEROPUERTO","MADRID",609,18.6,0,10.8,"05:45",26.3,"17:15","27",2.8,10.8,"17:15",10.8,945.6,"00",941.2,"17"
3,"2018-05-10","3129","MADRID AEROPUERTO","MADRID",609,18.8,0,13.5,"05:14",24.1,"15:00","04",2.5,9.2,"08:12",11.9,949.2,"Varias",944,"00"
4,"2018-05-11","3129","MADRID AEROPUERTO","MADRID",609,17.5,0,10.1,"05:23",24.9,"16:00","22",3.3,16.1,"14:01",9.5,950.8,"Varias",947,"18"
5,"2018-05-12","3129","MADRID AEROPUERTO","MADRID",609,14.8,0,8.9,"23:56",20.6,"14:22","30",5.3,12.8,"Varias",7,951.4,"Varias",946.4,"15"
6,"2018-05-13","3129","MADRID AEROPUERTO","MADRID",609,11.2,0,4,"05:21",18.4,"16:01","28",3.6,10.8,"15:00",12.6,954.2,"Varias",951.3,"00"
7,"2018-05-14","3129","MADRID AEROPUERTO","MADRID",609,14.9,0,10.3,"05:54",19.5,"14:32","33",3.3,12.5,"14:22",9.6,952.6,"00",950.2,"18"
8,"2018-05-15","3129","MADRID AEROPUERTO","MADRID",609,14.9,0,5.3,"05:16",24.5,"16:32","99",3.1,10.3,"Varias",11.7,952.5,"Varias",947.2,"17"
9,"2018-05-16","3129","MADRID AEROPUERTO","MADRID",609,18,0,10.6,"Varias",25.5,"16:19","99",2.2,7.8,"Varias",13.5,950.3,"00",945.3,"18"
10,"2018-05-17","3129","MADRID AEROPUERTO","MADRID",609,19.4,0.2,13.6,"06:29",25.2,"15:08","07",1.1,8.9,"20:41",8.2,949,"Varias",944.8,"18"
11,"2018-05-18","3129","MADRID AEROPUERTO","MADRID",609,17.5,0.9,12.7,"23:55",22.3,"13:01","19",2.2,15.3,"14:45",5.1,949.9,"Varias",947.2,"14"
12,"2018-05-19","3129","MADRID AEROPUERTO","MADRID",609,17.7,0,10.6,"03:40",24.8,"14:48","99",1.7,12.5,"Varias",8.8,950.5,"Varias",947.1,"18"
13,"2018-05-20","3129","MADRID AEROPUERTO","MADRID",609,17.4,0,12.6,"05:44",22.2,"14:52","05",2.2,11.4,"00:03",6.1,949.2,"00",944,"18"
14,"2018-05-21","3129","MADRID AEROPUERTO","MADRID",609,17.9,20,12.3,"03:00",23.5,"15:00","18",2.8,12.8,"10:31",5.5,946.4,"Varias",942.7,"16"
15,"2018-05-22","3129","MADRID AEROPUERTO","MADRID",609,17,0,11.1,"04:55",23,"12:24","30",1.4,9.7,"13:40",6.6,948.8,"Varias",945.7,"04"
16,"2018-05-23","3129","MADRID AEROPUERTO","MADRID",609,20,0.8,12.9,"04:55",27.2,"16:08","21",3.3,14.4,"18:32",8.9,949.7,"Varias",946,"17"
17,"2018-05-24","3129","MADRID AEROPUERTO","MADRID",609,21.2,13.6,14,"04:07",28.4,"15:49","14",3.6,12.8,"Varias",4.8,949.3,"Varias",942.5,"18"
18,"2018-05-25","3129","MADRID AEROPUERTO","MADRID",609,16.1,4.7,11.8,"23:46",20.4,"15:32","18",3.9,13.9,"01:11",2.5,947.9,"01",944,"17"
19,"2018-05-26","3129","MADRID AEROPUERTO","MADRID",609,17.2,0,11.6,"00:34",22.8,"14:36","21",2.2,11.4,"15:58",7.5,946.9,"Varias",945.2,"18"
20,"2018-05-27","3129","MADRID AEROPUERTO","MADRID",609,18.6,3.2,10.7,"05:14",26.4,"15:43","20",3.1,12.5,"14:03",9.6,947.5,"Varias",943.6,"15"
21,"2018-05-28","3129","MADRID AEROPUERTO","MADRID",609,17,2.8,12.7,"23:45",21.4,"15:14","20",1.1,11.7,"14:41",0.8,947.7,"Varias",944.6,"15"
22,"2018-05-29","3129","MADRID AEROPUERTO","MADRID",609,17,2.4,12.8,"Varias",21.3,"11:19","26",3.9,15,"12:22",2.6,947.3,"Varias",945.1,"18"
23,"2018-05-30","3129","MADRID AEROPUERTO","MADRID",609,15.6,0.8,12.1,"01:53",19,"17:07","99",3.1,10.3,"Varias",0.7,948.8,"Varias",945.4,"04"
24,"2018-05-31","3129","MADRID AEROPUERTO","MADRID",609,18.8,0.1,13.4,"05:14",24.2,"14:52","21",3.3,12.5,"14:38",7.7,951.1,"Varias",948.7,"00"
25,"2018-06-01","3129","MADRID AEROPUERTO","MADRID",609,18.6,12.8,11.6,"05:07",25.7,"16:26","18",3.6,12.5,"15:14",9.6,951.5,"Varias",947.1,"17"
26,"2018-06-02","3129","MADRID AEROPUERTO","MADRID",609,18.8,9.9,12.8,"22:09",24.7,"15:46","19",5.6,16.4,"16:16",6.6,950.8,"Varias",947.1,"16"
27,"2018-06-03","3129","MADRID AEROPUERTO","MADRID",609,17.9,0,10.8,"03:53",25,"15:33","22",4.2,17.5,"14:17",10.9,949.5,"00",945.4,"17"
28,"2018-06-04","3129","MADRID AEROPUERTO","MADRID",609,17,0,12.5,"05:26",21.4,"14:19","21",4.7,16.4,"14:50",7.8,947.2,"Varias",945.1,"17"
29,"2018-06-05","3129","MADRID AEROPUERTO","MADRID",609,16.2,1.5,12,"04:19",20.4,"14:13","23",3.9,12.5,"15:56",2.1,946.4,"00",944.1,"17"
30,"2018-06-07","3129","MADRID AEROPUERTO","MADRID",609,17.2,1.8,10.1,"04:32",24.4,"13:28","99",4.7,13.3,"Varias",7.9,950.4,"Varias",947.7,"15"
31,"2018-06-08","3129","MADRID AEROPUERTO","MADRID",609,16.9,3.7,14.2,"23:44",19.6,"16:20","21",4.2,15,"14:47",0.8,948.2,"00",945.3,"17"
32,"2018-06-09","3129","MADRID AEROPUERTO","MADRID",609,17,0,12,"02:57",21.9,"13:00","24",3.9,13.9,"14:17",5.7,947.7,"Varias",945.1,"13"
33,"2018-06-10","3129","MADRID AEROPUERTO","MADRID",609,15.8,0,10.2,"04:31",21.4,"16:19","21",3.6,13.3,"14:10",2.2,947.3,"00",944.1,"17"
34,"2018-06-11","3129","MADRID AEROPUERTO","MADRID",609,17.1,0.1,12.9,"05:14",21.3,"15:07","21",2.5,13.3,"15:06",2.9,947.8,"Varias",944.9,"03"
35,"2018-06-12","3129","MADRID AEROPUERTO","MADRID",609,18.2,0,11,"04:45",25.5,"16:20","01",4.2,11.7,"16:40",10.4,951.2,"Varias",947.2,"03"
36,"2018-06-13","3129","MADRID AEROPUERTO","MADRID",609,18.5,0,11.6,"04:41",25.4,"13:56","35",4.2,10.8,"19:02",13.6,952.1,"Varias",948.9,"17"
37,"2018-06-14","3129","MADRID AEROPUERTO","MADRID",609,19.6,0,11.4,"04:30",27.7,"15:06","36",2.8,8.3,"21:50",13.3,950.8,"Varias",947.7,"17"
38,"2018-06-15","3129","MADRID AEROPUERTO","MADRID",609,21.3,0,12.1,"04:41",30.5,"17:04","04",1.4,9.7,"22:13",12.6,950.1,"Varias",945.8,"18"
39,"2018-06-16","3129","MADRID AEROPUERTO","MADRID",609,23.8,0,15.9,"04:44",31.6,"15:36","02",3.3,9.2,"23:17",14.3,951.3,"Varias",947,"17"
40,"2018-06-17","3129","MADRID AEROPUERTO","MADRID",609,23.2,0,15,"05:25",31.5,"15:59","36",4.7,11.7,"19:17",14.4,955.4,"Varias",951.3,"00"
41,"2018-06-18","3129","MADRID AEROPUERTO","MADRID",609,24.2,0,16.7,"05:20",31.8,"14:35","06",3.1,10.8,"21:25",13.7,955.5,"Varias",951.4,"17"
42,"2018-06-19","3129","MADRID AEROPUERTO","MADRID",609,24,0,15.1,"05:20",33,"16:04","20",1.9,8.9,"12:15",13.9,954.2,"Varias",949.3,"19"
43,"2018-06-20","3129","MADRID AEROPUERTO","MADRID",609,25.4,0,17.5,"05:15",33.3,"15:01","20",2.2,10.8,"12:59",12.5,952.5,"Varias",948.1,"18"
