"date",weekday,holiday
"2018-09-21",4,0
"2018-09-22",5,0
"2018-09-23",6,1
"2018-09-24",0,0
"2018-09-25",1,0
"2018-09-26",2,0
"2018-09-27",3,0
"2018-09-28",4,0
"2018-09-29",5,0
"2018-09-30",6,1
"2018-10-01",0,0
"2018-10-02",1,0
"2018-10-03",2,0
"2018-10-04",3,0
"2018-10-05",4,0
"2018-10-06",5,0
"2018-10-07",6,1
"2018-10-08",0,0
"2018-10-09",1,0
"2018-10-10",2,0
"2018-10-11",3,0
"2018-10-12",4,1
"2018-10-13",5,0
"2018-10-14",6,1
"2018-10-15",0,0
"2018-10-16",1,0
"2018-10-17",2,0
"2018-10-18",3,0
"2018-10-19",4,0
"2018-10-20",5,0
"2018-10-21",6,1
"2018-10-22",0,0
"2018-10-23",1,0
"2018-10-24",2,0
"2018-10-25",3,0
"2018-10-26",4,0
"2018-10-27",5,0
"2018-10-28",6,1
"2018-10-29",0,0
"2018-10-30",1,0
"2018-10-31",2,0
"2018-11-01",3,1
"2018-11-02",4,0
"2018-11-03",5,0
"2018-11-04",6,1
"2018-11-05",0,0
"2018-11-06",1,0
"2018-11-07",2,0
"2018-11-08",3,0
"2018-11-09",4,1
"2018-11-10",5,0
"2018-11-11",6,1
"2018-11-12",0,0
"2018-11-13",1,0
"2018-11-14",2,0
"2018-11-15",3,0
"2018-11-16",4,0
"2018-11-17",5,0
"2018-11-18",6,1
"2018-11-19",0,0
"2018-11-20",1,0
"2018-11-21",2,0
"2018-11-22",3,0
"2018-11-23",4,0
"2018-11-24",5,0
"2018-11-25",6,1
"2018-11-26",0,0
"2018-11-27",1,0
"2018-11-28",2,0
"2018-11-29",3,0
"2018-11-30",4,0
"2018-12-01",5,0
"2018-12-02",6,1
"2018-12-03",0,0
"2018-12-04",1,0
"2018-12-05",2,0
"2018-12-06",3,1
"2018-12-07",4,0
"2018-12-08",5,1
"2018-12-09",6,1
"2018-12-10",0,0
"2018-12-11",1,0
"2018-12-12",2,0
"2018-12-13",3,0
"2018-12-14",4,0
"2018-12-15",5,0
"2018-12-16",6,1
"2018-12-17",0,0
"2018-12-18",1,0
"2018-12-19",2,0
"2018-12-20",3,0
"2018-12-21",4,0
"2018-12-22",5,0
"2018-12-23",6,1
"2018-12-24",0,0
"2018-12-25",1,1
"2018-12-26",2,0
"2018-12-27",3,0
"2018-12-28",4,0
"2018-12-29",5,0
"2018-12-30",6,1
"2018-12-31",0,0
"2019-01-01",1,1
"2019-01-02",2,0
"2019-01-03",3,0
"2019-01-04",4,0
"2019-01-05",5,0
"2019-01-06",6,1
"2019-01-07",0,1
"2019-01-08",1,0
"2019-01-09",2,0
"2019-01-10",3,0
"2019-01-11",4,0
"2019-01-12",5,0
"2019-01-13",6,1
"2019-01-14",0,0
"2019-01-15",1,0
"2019-01-16",2,0
"2019-01-17",3,0
"2019-01-18",4,0
"2019-01-19",5,0
"2019-01-20",6,1
"2019-01-21",0,0
"2019-01-22",1,0
"2019-01-23",2,0
"2019-01-24",3,0
"2019-01-25",4,0
"2019-01-26",5,0
"2019-01-27",6,1
"2019-01-28",0,0
"2019-01-29",1,0
"2019-01-30",2,0
"2019-01-31",3,0
"2019-02-01",4,0
"2019-02-02",5,0
"2019-02-03",6,1
"2019-02-04",0,0
"2019-02-05",1,0
"2019-02-06",2,0
"2019-02-07",3,0
"2019-02-08",4,0
"2019-02-09",5,0
"2019-02-10",6,1
"2019-02-11",0,0
"2019-02-12",1,0
"2019-02-13",2,0
"2019-02-14",3,0
"2019-02-15",4,0
"2019-02-16",5,0
"2019-02-17",6,1
"2019-02-18",0,0
"2019-02-19",1,0
"2019-02-20",2,0
"2019-02-21",3,0
"2019-02-22",4,0
"2019-02-23",5,0
"2019-02-24",6,1
"2019-02-25",0,0
"2019-02-26",1,0
"2019-02-27",2,0
"2019-02-28",3,0
"2019-03-01",4,0
"2019-03-02",5,0
"2019-03-03",6,1
"2019-03-04",0,0
"2019-03-05",1,0
"2019-03-06",2,0
"2019-03-07",3,0
"2019-03-08",4,0
"2019-03-09",5,0
"2019-03-10",6,1
"2019-03-11",0,0
"2019-03-12",1,0
"2019-03-13",2,0
"2019-03-14",3,0
"2019-03-15",4,0
"2019-03-16",5,0
"2019-03-17",6,1
"2019-03-18",0,0
"2019-03-19",1,0
"2019-03-20",2,0
"2019-03-21",3,0
"2019-03-22",4,0
"2019-03-23",5,0
"2019-03-24",6,1
"2019-03-25",0,0
"2019-03-26",1,0
"2019-03-27",2,0
"2019-03-28",3,0
"2019-03-29",4,0
"2019-03-30",5,0
"2019-03-31",6,1
"2019-04-01",0,0
"2019-04-02",1,0
"2019-04-03",2,0
"2019-04-04",3,0
"2019-04-05",4,0
"2019-04-06",5,0
"2019-04-07",6,1
"2019-04-08",0,0
"2019-04-09",1,0
"2019-04-10",2,0
"2019-04-11",3,0
"2019-04-12",4,0
"2019-04-13",5,0
"2019-04-14",6,1
"2019-04-15",0,0
"2019-04-16",1,0
"2019-04-17",2,0
"2019-04-18",3,1
"2019-04-19",4,1
"2019-04-20",5,0
"2019-04-21",6,1
"2019-04-22",0,0
"2019-04-23",1,0
"2019-04-24",2,0
"2019-04-25",3,0
"2019-04-26",4,0
"2019-04-27",5,0
"2019-04-28",6,1
"2019-04-29",0,0
